Time,Power,Operation,FR,CR,Rho,Insert_Rho
0,1.64059E-09,1.64059E-09,0,22.62,0,1019.64
1,1.6429E-09,1.85987E-09,0.2871,22.62,0.93,1020.57
2,1.64762E-09,8.46821E-10,0.7949,22.62,2.58,1022.22
3,1.65194E-09,1.69933E-09,1.1366,22.62,3.7,1023.34
4,1.6579E-09,1.0014E-09,1.6251,22.62,5.28,1024.92
5,1.66344E-09,1.53447E-09,1.9666,22.62,6.39,1026.03
6,1.67065E-09,9.44655E-10,2.465,22.62,8.01,1027.65
7,1.67733E-09,1.4653E-09,2.8066,22.62,9.12,1028.76
8,1.68423E-09,1.75505E-09,3.1367,22.62,10.2,1029.84
9,1.69299E-09,1.57762E-09,3.6449,22.62,11.85,1031.49
10,1.70096E-09,1.70673E-09,3.9668,22.62,12.89,1032.53
11,1.70683E-09,1.55926E-09,4.0096,22.62,13.05,1032.69
12,1.71185E-09,1.72613E-09,4.0001,22.62,13,1032.64
13,1.7166E-09,1.55061E-09,3.9901,22.62,12.97,1032.61
14,1.72121E-09,1.78615E-09,3.99,22.62,12.97,1032.61
15,1.72566E-09,1.52496E-09,3.99,22.62,12.97,1032.61
16,1.72997E-09,1.71595E-09,3.99,22.62,12.97,1032.61
17,1.73417E-09,1.4815E-09,3.99,22.62,12.97,1032.61
18,1.73826E-09,1.80595E-09,3.99,22.62,12.97,1032.61
19,1.74227E-09,1.64228E-09,3.99,22.62,12.97,1032.61
20,1.74619E-09,1.82831E-09,3.99,22.62,12.97,1032.61
21,1.75005E-09,1.66129E-09,3.99,22.62,12.97,1032.61
22,1.75384E-09,1.84948E-09,3.99,22.62,12.97,1032.61
23,1.75757E-09,1.65207E-09,3.99,22.62,12.97,1032.61
24,1.76125E-09,1.89208E-09,3.99,22.62,12.97,1032.61
25,1.76489E-09,1.57003E-09,3.99,22.62,12.97,1032.61
26,1.76849E-09,9.55683E-10,3.99,22.62,12.97,1032.61
27,1.77205E-09,1.59671E-09,3.99,22.62,12.97,1032.61
28,1.77557E-09,1.04082E-09,3.99,22.62,12.97,1032.61
29,1.77907E-09,1.62521E-09,3.99,22.62,12.97,1032.61
30,1.78254E-09,1.59441E-09,3.99,22.62,12.97,1032.61
31,1.78598E-09,1.7463E-09,3.99,22.62,12.97,1032.61
32,1.7894E-09,1.53325E-09,3.99,22.62,12.97,1032.61
33,1.7928E-09,1.67733E-09,3.99,22.62,12.97,1032.61
34,1.79618E-09,1.65978E-09,3.99,22.62,12.97,1032.61
35,1.79954E-09,1.78726E-09,3.99,22.62,12.97,1032.61
36,1.80289E-09,1.23585E-09,3.99,22.62,12.97,1032.61
37,1.80622E-09,1.76269E-09,3.99,22.62,12.97,1032.61
38,1.80954E-09,1.07848E-09,3.99,22.62,12.97,1032.61
39,1.81285E-09,1.69198E-09,3.99,22.62,12.97,1032.61
40,1.81615E-09,1.11507E-09,3.99,22.62,12.97,1032.61
41,1.81944E-09,1.80226E-09,3.99,22.62,12.97,1032.61
42,1.82272E-09,1.06073E-09,3.99,22.62,12.97,1032.61
43,1.82599E-09,1.79141E-09,3.99,22.62,12.97,1032.61
