Time,Power,Operation,FR,CR,Rho,Insert_Rho
0,1.62592E-09,1.62592E-09,0,22.62,0,1019.64
1,1.62821E-09,1.85973E-09,0.2871,22.62,0.93,1020.57
2,1.63289E-09,8.46821E-10,0.7949,22.62,2.58,1022.22
3,1.63717E-09,1.69933E-09,1.1366,22.62,3.7,1023.34
4,1.64308E-09,1.0014E-09,1.6251,22.62,5.28,1024.92
5,1.64857E-09,1.53447E-09,1.9666,22.62,6.39,1026.03
6,1.65571E-09,9.44655E-10,2.465,22.62,8.01,1027.65
7,1.66233E-09,1.4653E-09,2.8066,22.62,9.12,1028.76
8,1.66917E-09,1.75505E-09,3.1367,22.62,10.2,1029.84
9,1.67785E-09,1.57762E-09,3.6449,22.62,11.85,1031.49
10,1.68575E-09,1.70673E-09,3.9668,22.62,12.89,1032.53
11,1.69157E-09,1.55926E-09,4.0096,22.62,13.05,1032.69
12,1.69655E-09,1.72613E-09,4.0001,22.62,13,1032.64
13,1.70125E-09,1.55061E-09,3.9901,22.62,12.97,1032.61
14,1.70582E-09,1.78615E-09,3.99,22.62,12.97,1032.61
15,1.71023E-09,1.52496E-09,3.99,22.62,12.97,1032.61
16,1.71451E-09,1.71595E-09,3.99,22.62,12.97,1032.61
17,1.71866E-09,1.4815E-09,3.99,22.62,12.97,1032.61
18,1.72272E-09,1.80595E-09,3.99,22.62,12.97,1032.61
19,1.72669E-09,1.64228E-09,3.99,22.62,12.97,1032.61
20,1.73058E-09,1.82831E-09,3.99,22.62,12.97,1032.61
21,1.7344E-09,1.66129E-09,3.99,22.62,12.97,1032.61
22,1.73815E-09,1.84948E-09,3.99,22.62,12.97,1032.61
23,1.74185E-09,1.65207E-09,3.99,22.62,12.97,1032.61
24,1.7455E-09,1.89208E-09,3.99,22.62,12.97,1032.61
25,1.74911E-09,1.57003E-09,3.99,22.62,12.97,1032.61
26,1.75267E-09,9.55683E-10,3.99,22.62,12.97,1032.61
27,1.7562E-09,1.59671E-09,3.99,22.62,12.97,1032.61
28,1.7597E-09,1.04082E-09,3.99,22.62,12.97,1032.61
29,1.76316E-09,1.62521E-09,3.99,22.62,12.97,1032.61
30,1.7666E-09,1.59441E-09,3.99,22.62,12.97,1032.61
31,1.77001E-09,1.7463E-09,3.99,22.62,12.97,1032.61
32,1.7734E-09,1.53325E-09,3.99,22.62,12.97,1032.61
33,1.77677E-09,1.67733E-09,3.99,22.62,12.97,1032.61
34,1.78012E-09,1.65978E-09,3.99,22.62,12.97,1032.61
35,1.78345E-09,1.78726E-09,3.99,22.62,12.97,1032.61
36,1.78677E-09,1.23585E-09,3.99,22.62,12.97,1032.61
37,1.79007E-09,1.76269E-09,3.99,22.62,12.97,1032.61
38,1.79336E-09,1.07848E-09,3.99,22.62,12.97,1032.61
39,1.79664E-09,1.69198E-09,3.99,22.62,12.97,1032.61
40,1.79991E-09,1.11507E-09,3.99,22.62,12.97,1032.61
41,1.80317E-09,1.80226E-09,3.99,22.62,12.97,1032.61
42,1.80642E-09,1.06073E-09,3.99,22.62,12.97,1032.61
43,1.80966E-09,1.79141E-09,3.99,22.62,12.97,1032.61
44,1.8129E-09,9.799E-10,3.99,22.62,12.97,1032.61
