Position       	Rod_FR_Worth   	Rod_CR_Worth   
0.0000         	0.0000         	0.0000         
0.0010         	0.0032         	0.0112         
0.0020         	0.0065         	0.0225         
0.0030         	0.0097         	0.0338         
0.0040         	0.0130         	0.0450         
0.0050         	0.0163         	0.0562         
0.0060         	0.0195         	0.0675         
0.0070         	0.0227         	0.0788         
0.0080         	0.0260         	0.0900         
0.0090         	0.0292         	0.1012         
0.0100         	0.0325         	0.1125         
0.0110         	0.0357         	0.1237         
0.0120         	0.0390         	0.1350         
0.0130         	0.0422         	0.1462         
0.0140         	0.0455         	0.1575         
0.0150         	0.0487         	0.1687         
0.0160         	0.0520         	0.1800         
0.0170         	0.0553         	0.1913         
0.0180         	0.0585         	0.2025         
0.0190         	0.0617         	0.2137         
0.0200         	0.0650         	0.2250         
0.0210         	0.0682         	0.2362         
0.0220         	0.0715         	0.2475         
0.0230         	0.0747         	0.2587         
0.0240         	0.0780         	0.2700         
0.0250         	0.0813         	0.2812         
0.0260         	0.0845         	0.2925         
0.0270         	0.0877         	0.3037         
0.0280         	0.0910         	0.3150         
0.0290         	0.0943         	0.3262         
0.0300         	0.0975         	0.3375         
0.0310         	0.1007         	0.3488         
0.0320         	0.1040         	0.3600         
0.0330         	0.1072         	0.3712         
0.0340         	0.1105         	0.3825         
0.0350         	0.1137         	0.3937         
0.0360         	0.1170         	0.4050         
0.0370         	0.1202         	0.4163         
0.0380         	0.1235         	0.4275         
0.0390         	0.1268         	0.4387         
0.0400         	0.1300         	0.4500         
0.0410         	0.1333         	0.4612         
0.0420         	0.1365         	0.4725         
0.0430         	0.1397         	0.4837         
0.0440         	0.1430         	0.4950         
0.0450         	0.1462         	0.5062         
0.0460         	0.1495         	0.5175         
0.0470         	0.1527         	0.5287         
0.0480         	0.1560         	0.5400         
0.0490         	0.1593         	0.5513         
0.0500         	0.1625         	0.5625         
0.0510         	0.1657         	0.5737         
0.0520         	0.1690         	0.5850         
0.0530         	0.1722         	0.5962         
0.0540         	0.1755         	0.6075         
0.0550         	0.1787         	0.6188         
0.0560         	0.1820         	0.6300         
0.0570         	0.1852         	0.6412         
0.0580         	0.1885         	0.6525         
0.0590         	0.1918         	0.6637         
0.0600         	0.1950         	0.6750         
0.0610         	0.1982         	0.6863         
0.0620         	0.2015         	0.6975         
0.0630         	0.2047         	0.7087         
0.0640         	0.2080         	0.7200         
0.0650         	0.2112         	0.7312         
0.0660         	0.2145         	0.7425         
0.0670         	0.2177         	0.7537         
0.0680         	0.2210         	0.7650         
0.0690         	0.2242         	0.7762         
0.0700         	0.2275         	0.7875         
0.0710         	0.2307         	0.7987         
0.0720         	0.2340         	0.8100         
0.0730         	0.2372         	0.8212         
0.0740         	0.2405         	0.8325         
0.0750         	0.2437         	0.8438         
0.0760         	0.2470         	0.8550         
0.0770         	0.2502         	0.8662         
0.0780         	0.2535         	0.8775         
0.0790         	0.2567         	0.8887         
0.0800         	0.2600         	0.9000         
0.0810         	0.2632         	0.9113         
0.0820         	0.2665         	0.9225         
0.0830         	0.2697         	0.9337         
0.0840         	0.2730         	0.9450         
0.0850         	0.2762         	0.9562         
0.0860         	0.2795         	0.9675         
0.0870         	0.2828         	0.9788         
0.0880         	0.2860         	0.9900         
0.0890         	0.2893         	1.0012         
0.0900         	0.2925         	1.0125         
0.0910         	0.2958         	1.0237         
0.0920         	0.2990         	1.0350         
0.0930         	0.3022         	1.0462         
0.0940         	0.3055         	1.0575         
0.0950         	0.3087         	1.0687         
0.0960         	0.3120         	1.0800         
0.0970         	0.3152         	1.0913         
0.0980         	0.3185         	1.1025         
0.0990         	0.3217         	1.1138         
0.1000         	0.3250         	1.1250         
0.1010         	0.3282         	1.1362         
0.1020         	0.3315         	1.1475         
0.1030         	0.3347         	1.1587         
0.1040         	0.3380         	1.1700         
0.1050         	0.3412         	1.1812         
0.1060         	0.3445         	1.1925         
0.1070         	0.3478         	1.2037         
0.1080         	0.3510         	1.2150         
0.1090         	0.3543         	1.2263         
0.1100         	0.3575         	1.2375         
0.1110         	0.3607         	1.2488         
0.1120         	0.3640         	1.2600         
0.1130         	0.3672         	1.2712         
0.1140         	0.3705         	1.2825         
0.1150         	0.3737         	1.2937         
0.1160         	0.3770         	1.3050         
0.1170         	0.3802         	1.3162         
0.1180         	0.3835         	1.3275         
0.1190         	0.3867         	1.3387         
0.1200         	0.3900         	1.3500         
0.1210         	0.3932         	1.3612         
0.1220         	0.3965         	1.3725         
0.1230         	0.3997         	1.3838         
0.1240         	0.4030         	1.3950         
0.1250         	0.4062         	1.4062         
0.1260         	0.4095         	1.4175         
0.1270         	0.4128         	1.4287         
0.1280         	0.4160         	1.4400         
0.1290         	0.4192         	1.4512         
0.1300         	0.4225         	1.4625         
0.1310         	0.4257         	1.4737         
0.1320         	0.4290         	1.4850         
0.1330         	0.4322         	1.4962         
0.1340         	0.4355         	1.5075         
0.1350         	0.4387         	1.5188         
0.1360         	0.4420         	1.5300         
0.1370         	0.4452         	1.5413         
0.1380         	0.4485         	1.5525         
0.1390         	0.4517         	1.5637         
0.1400         	0.4550         	1.5750         
0.1410         	0.4582         	1.5862         
0.1420         	0.4615         	1.5975         
0.1430         	0.4647         	1.6087         
0.1440         	0.4680         	1.6200         
0.1450         	0.4713         	1.6312         
0.1460         	0.4745         	1.6425         
0.1470         	0.4777         	1.6537         
0.1480         	0.4810         	1.6650         
0.1490         	0.4842         	1.6763         
0.1500         	0.4875         	1.6875         
0.1510         	0.4907         	1.6987         
0.1520         	0.4940         	1.7100         
0.1530         	0.4972         	1.7212         
0.1540         	0.5005         	1.7325         
0.1550         	0.5038         	1.7437         
0.1560         	0.5070         	1.7550         
0.1570         	0.5102         	1.7662         
0.1580         	0.5135         	1.7775         
0.1590         	0.5167         	1.7887         
0.1600         	0.5200         	1.8000         
0.1610         	0.5232         	1.8113         
0.1620         	0.5265         	1.8225         
0.1630         	0.5297         	1.8337         
0.1640         	0.5330         	1.8450         
0.1650         	0.5363         	1.8562         
0.1660         	0.5395         	1.8675         
0.1670         	0.5427         	1.8787         
0.1680         	0.5460         	1.8900         
0.1690         	0.5493         	1.9012         
0.1700         	0.5525         	1.9125         
0.1710         	0.5557         	1.9237         
0.1720         	0.5590         	1.9350         
0.1730         	0.5623         	1.9463         
0.1740         	0.5655         	1.9575         
0.1750         	0.5687         	1.9688         
0.1760         	0.5720         	1.9800         
0.1770         	0.5752         	1.9912         
0.1780         	0.5785         	2.0025         
0.1790         	0.5817         	2.0137         
0.1800         	0.5850         	2.0250         
0.1810         	0.5882         	2.0362         
0.1820         	0.5915         	2.0475         
0.1830         	0.5948         	2.0587         
0.1840         	0.5980         	2.0700         
0.1850         	0.6012         	2.0812         
0.1860         	0.6045         	2.0925         
0.1870         	0.6078         	2.1037         
0.1880         	0.6110         	2.1150         
0.1890         	0.6142         	2.1262         
0.1900         	0.6175         	2.1375         
0.1910         	0.6208         	2.1487         
0.1920         	0.6240         	2.1600         
0.1930         	0.6272         	2.1713         
0.1940         	0.6305         	2.1825         
0.1950         	0.6337         	2.1938         
0.1960         	0.6370         	2.2050         
0.1970         	0.6402         	2.2163         
0.1980         	0.6435         	2.2275         
0.1990         	0.6467         	2.2388         
0.2000         	0.6500         	2.2500         
0.2010         	0.6532         	2.2612         
0.2020         	0.6565         	2.2725         
0.2030         	0.6597         	2.2837         
0.2040         	0.6630         	2.2950         
0.2050         	0.6663         	2.3062         
0.2060         	0.6695         	2.3175         
0.2070         	0.6727         	2.3287         
0.2080         	0.6760         	2.3400         
0.2090         	0.6793         	2.3512         
0.2100         	0.6825         	2.3625         
0.2110         	0.6857         	2.3737         
0.2120         	0.6890         	2.3850         
0.2130         	0.6922         	2.3962         
0.2140         	0.6955         	2.4075         
0.2150         	0.6987         	2.4187         
0.2160         	0.7020         	2.4300         
0.2170         	0.7052         	2.4412         
0.2180         	0.7085         	2.4525         
0.2190         	0.7117         	2.4638         
0.2200         	0.7150         	2.4750         
0.2210         	0.7182         	2.4863         
0.2220         	0.7215         	2.4975         
0.2230         	0.7248         	2.5088         
0.2240         	0.7280         	2.5200         
0.2250         	0.7312         	2.5312         
0.2260         	0.7345         	2.5425         
0.2270         	0.7378         	2.5537         
0.2280         	0.7410         	2.5650         
0.2290         	0.7442         	2.5762         
0.2300         	0.7475         	2.5875         
0.2310         	0.7507         	2.5987         
0.2320         	0.7540         	2.6100         
0.2330         	0.7572         	2.6212         
0.2340         	0.7605         	2.6325         
0.2350         	0.7637         	2.6437         
0.2360         	0.7670         	2.6550         
0.2370         	0.7702         	2.6662         
0.2380         	0.7735         	2.6775         
0.2390         	0.7767         	2.6887         
0.2400         	0.7800         	2.7000         
0.2410         	0.7833         	2.7112         
0.2420         	0.7865         	2.7225         
0.2430         	0.7897         	2.7337         
